index,color,RedCount,BlueCount,GreenCount
1,blue,0,1,0
2,green,0,1,1
3,red,1,1,1
4,green,1,1,2
5,red,2,1,2
6,green,2,1,3
7,blue,2,2,3
8,red,3,2,3
9,red,4,2,3
10,green,4,2,4
11,green,4,2,5
12,blue,4,3,5
13,red,5,3,5
14,green,5,3,6
15,red,6,3,6
16,blue,6,4,6
17,blue,6,5,6
18,green,6,5,7
19,red,7,5,7
20,blue,7,6,7
21,blue,7,7,7
22,red,8,7,7
23,green,8,7,8
24,red,9,7,8
25,red,10,7,8
26,red,11,7,8
27,green,11,7,9
28,green,11,7,10
29,blue,11,8,10
30,red,12,8,10
31,green,12,8,11
32,red,13,8,11
33,red,14,8,11
34,red,15,8,11
35,green,15,8,12
36,green,15,8,13
37,green,15,8,14
38,red,16,8,14
39,green,16,8,15
40,red,17,8,15
41,green,17,8,16
42,red,18,8,16
43,red,19,8,16
44,green,19,8,17
45,red,20,8,17
46,blue,20,9,17
47,blue,20,10,17
48,red,21,10,17
49,green,21,10,18
50,red,22,10,18
51,green,22,10,19
52,red,23,10,19
53,red,24,10,19
54,green,24,10,20
55,red,25,10,20
56,red,26,10,20
57,red,27,10,20
58,blue,27,11,20
59,green,27,11,21
60,red,28,11,21
61,blue,28,12,21
62,blue,28,13,21
63,green,28,13,22
64,blue,28,14,22
65,red,29,14,22
66,green,29,14,23
67,red,30,14,23
68,blue,30,15,23
69,blue,30,16,23
70,red,31,16,23
71,blue,31,17,23
72,red,32,17,23
73,blue,32,18,23
74,green,32,18,24
75,green,32,18,25
76,red,33,18,25
77,red,34,18,25
78,green,34,18,26
79,green,34,18,27
80,green,34,18,28
81,red,35,18,28
82,green,35,18,29
83,red,36,18,29
84,green,36,18,30
85,blue,36,19,30
86,red,37,19,30
87,red,38,19,30
88,green,38,19,31
89,blue,38,20,31
90,green,38,20,32
91,green,38,20,33
92,green,38,20,34
93,blue,38,21,34
94,green,38,21,35
95,blue,38,22,35
96,red,39,22,35
97,green,39,22,36
98,red,40,22,36
99,green,40,22,37
100,blue,40,23,37
