index,color,RedCount,BlueCount,GreenCount,YellowCount
1,green,0,0,1,0
2,green,0,0,2,0
3,red,1,0,2,0
4,red,2,0,2,0
5,green,2,0,3,0
6,green,2,0,4,0
7,yellow,2,0,4,1
8,yellow,2,0,4,2
9,yellow,2,0,4,3
10,green,2,0,5,3
11,blue,2,1,5,3
12,red,3,1,5,3
13,green,3,1,6,3
14,yellow,3,1,6,4
15,blue,3,2,6,4
16,green,3,2,7,4
17,blue,3,3,7,4
18,red,4,3,7,4
19,green,4,3,8,4
20,blue,4,4,8,4
21,red,5,4,8,4
22,blue,5,5,8,4
23,red,6,5,8,4
24,blue,6,6,8,4
25,red,7,6,8,4
26,red,8,6,8,4
27,green,8,6,9,4
28,red,9,6,9,4
29,yellow,9,6,9,5
30,blue,9,7,9,5
31,red,10,7,9,5
32,red,11,7,9,5
33,yellow,11,7,9,6
34,blue,11,8,9,6
35,blue,11,9,9,6
36,red,12,9,9,6
37,blue,12,10,9,6
38,green,12,10,10,6
39,yellow,12,10,10,7
40,red,13,10,10,7
41,yellow,13,10,10,8
42,blue,13,11,10,8
43,green,13,11,11,8
44,green,13,11,12,8
45,yellow,13,11,12,9
46,yellow,13,11,12,10
47,red,14,11,12,10
48,green,14,11,13,10
49,green,14,11,14,10
50,red,15,11,14,10
51,yellow,15,11,14,11
52,yellow,15,11,14,12
53,blue,15,12,14,12
54,red,16,12,14,12
55,red,17,12,14,12
56,yellow,17,12,14,13
57,blue,17,13,14,13
58,green,17,13,15,13
59,red,18,13,15,13
60,green,18,13,16,13
61,blue,18,14,16,13
62,red,19,14,16,13
63,red,20,14,16,13
64,blue,20,15,16,13
65,blue,20,16,16,13
66,yellow,20,16,16,14
67,yellow,20,16,16,15
68,green,20,16,17,15
69,yellow,20,16,17,16
70,blue,20,17,17,16
71,green,20,17,18,16
72,blue,20,18,18,16
73,red,21,18,18,16
74,blue,21,19,18,16
75,yellow,21,19,18,17
76,blue,21,20,18,17
77,blue,21,21,18,17
78,red,22,21,18,17
79,yellow,22,21,18,18
80,blue,22,22,18,18
81,yellow,22,22,18,19
82,yellow,22,22,18,20
83,blue,22,23,18,20
84,yellow,22,23,18,21
85,blue,22,24,18,21
86,blue,22,25,18,21
87,yellow,22,25,18,22
88,yellow,22,25,18,23
89,yellow,22,25,18,24
90,green,22,25,19,24
91,red,23,25,19,24
92,red,24,25,19,24
93,green,24,25,20,24
94,red,25,25,20,24
95,yellow,25,25,20,25
96,red,26,25,20,25
97,red,27,25,20,25
98,yellow,27,25,20,26
99,yellow,27,25,20,27
100,yellow,27,25,20,28
