index,color,RedCount,BlueCount,GreenCount,YellowCount,BlackCount
1,red,1,0,0,0,0
2,red,2,0,0,0,0
3,blue,2,1,0,0,0
4,red,3,1,0,0,0
5,green,3,1,1,0,0
6,green,3,1,2,0,0
7,blue,3,2,2,0,0
8,black,3,2,2,0,1
9,black,3,2,2,0,2
10,yellow,3,2,2,1,2
11,blue,3,3,2,1,2
12,red,4,3,2,1,2
13,blue,4,4,2,1,2
14,black,4,4,2,1,3
15,yellow,4,4,2,2,3
16,yellow,4,4,2,3,3
17,black,4,4,2,3,4
18,green,4,4,3,3,4
19,yellow,4,4,3,4,4
20,green,4,4,4,4,4
21,blue,4,5,4,4,4
22,blue,4,6,4,4,4
23,red,5,6,4,4,4
24,yellow,5,6,4,5,4
25,blue,5,7,4,5,4
26,black,5,7,4,5,5
27,blue,5,8,4,5,5
28,green,5,8,5,5,5
29,green,5,8,6,5,5
30,blue,5,9,6,5,5
31,blue,5,10,6,5,5
32,green,5,10,7,5,5
33,yellow,5,10,7,6,5
34,red,6,10,7,6,5
35,black,6,10,7,6,6
36,yellow,6,10,7,7,6
37,yellow,6,10,7,8,6
38,black,6,10,7,8,7
39,red,7,10,7,8,7
40,red,8,10,7,8,7
41,blue,8,11,7,8,7
42,blue,8,12,7,8,7
43,red,9,12,7,8,7
44,yellow,9,12,7,9,7
45,blue,9,13,7,9,7
46,blue,9,14,7,9,7
47,black,9,14,7,9,8
48,red,10,14,7,9,8
49,blue,10,15,7,9,8
50,yellow,10,15,7,10,8
51,green,10,15,8,10,8
52,black,10,15,8,10,9
53,blue,10,16,8,10,9
54,blue,10,17,8,10,9
55,black,10,17,8,10,10
56,green,10,17,9,10,10
57,blue,10,18,9,10,10
58,blue,10,19,9,10,10
59,green,10,19,10,10,10
60,green,10,19,11,10,10
61,red,11,19,11,10,10
62,black,11,19,11,10,11
63,yellow,11,19,11,11,11
64,blue,11,20,11,11,11
65,yellow,11,20,11,12,11
66,red,12,20,11,12,11
67,yellow,12,20,11,13,11
68,black,12,20,11,13,12
69,green,12,20,12,13,12
70,black,12,20,12,13,13
71,blue,12,21,12,13,13
72,yellow,12,21,12,14,13
73,yellow,12,21,12,15,13
74,blue,12,22,12,15,13
75,green,12,22,13,15,13
76,red,13,22,13,15,13
77,black,13,22,13,15,14
78,red,14,22,13,15,14
79,blue,14,23,13,15,14
80,green,14,23,14,15,14
81,blue,14,24,14,15,14
82,blue,14,25,14,15,14
83,blue,14,26,14,15,14
84,yellow,14,26,14,16,14
85,black,14,26,14,16,15
86,red,15,26,14,16,15
87,yellow,15,26,14,17,15
88,yellow,15,26,14,18,15
89,yellow,15,26,14,19,15
90,blue,15,27,14,19,15
91,green,15,27,15,19,15
92,blue,15,28,15,19,15
93,red,16,28,15,19,15
94,green,16,28,16,19,15
95,red,17,28,16,19,15
96,green,17,28,17,19,15
97,black,17,28,17,19,16
98,green,17,28,18,19,16
99,red,18,28,18,19,16
100,blue,18,29,18,19,16
